full_team_name,abbr,division,conference
Anaheim Ducks,ANA,Pacific,Western
Arizona Coyotes,ARI,Central,Western
Boston Bruins,BOS,Atlantic,Eastern
Buffalo Sabres,BUF,Atlantic,Eastern
Calgary Flames,CGY,Pacific,Western
Carolina Hurricanes,CAR,Metropolitan,Eastern
Chicago Blackhawks,CHI,Central,Western
Colorado Avalanche,COL,Central,Western
Columbus Blue Jackets,CBJ,Metropolitan,Eastern
Dallas Stars,DAL,Central,Western
Detroit Red Wings,DET,Atlantic,Eastern
Edmonton Oilers,EDM,Pacific,Western
Florida Panthers,FLA,Atlantic,Eastern
Los Angeles Kings,LAK,Pacific,Western
Minnesota Wild,MIN,Central,Western
Montreal Canadiens,MTL,Atlantic,Eastern
Nashville Predators,NSH,Central,Western
New Jersey Devils,NJD,Metropolitan,Eastern
New York Islanders,NYI,Metropolitan,Eastern
New York Rangers,NYR,Metropolitan,Eastern
Ottawa Senators,OTT,Atlantic,Eastern
Philadelphia Flyers,PHI,Metropolitan,Eastern
Pittsburgh Penguins,PIT,Metropolitan,Eastern
San Jose Sharks,SJS,Pacific,Western
Seattle Kraken,SEA,Pacific,Western
St. Louis Blues,STL,Central,Western
Tampa Bay Lightning,TBL,Atlantic,Eastern
Toronto Maple Leafs,TOR,Atlantic,Eastern
Vancouver Canucks,VAN,Pacific,Western
Vegas Golden Knights,VGK,Pacific,Western
Washington Capitals,WSH,Metropolitan,Eastern
Winnipeg Jets,WPG,Central,Western